City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
89,Torit,4.4133,32.5678,68.83,94,100,3.47,SS,2022-10-17 02:20:22
90,Samarai,-10.6167,150.6667,82.13,79,59,10.58,PG,2022-10-17 02:19:15
91,Port Hardy,50.6996,-127.4199,53.78,87,0,0.0,CA,2022-10-17 02:14:58
92,Hithadhoo,-0.6,73.0833,80.53,69,100,9.86,MV,2022-10-17 02:20:23
93,Saryg-Sep,51.5,95.6,34.09,28,79,2.66,RU,2022-10-17 02:20:23
94,Umm Lajj,25.0213,37.2685,82.83,47,86,1.97,SA,2022-10-17 02:17:26
95,Majene,-3.5403,118.9707,83.7,76,79,1.79,ID,2022-10-17 02:20:24
96,Nikolskoye,59.7035,30.7861,53.49,79,90,14.74,RU,2022-10-17 02:17:41
97,Libreville,0.3925,9.4537,75.65,89,53,2.57,GA,2022-10-17 02:20:25
98,Bobon,12.5246,124.5636,86.88,67,100,8.59,PH,2022-10-17 02:20:25
99,Provideniya,64.3833,-173.3,32.36,74,100,18.01,RU,2022-10-17 02:12:20
100,Wellington,-41.2866,174.7756,64.06,76,64,14.97,NZ,2022-10-17 02:20:12
101,Esperance,-33.8667,121.9,58.91,77,94,23.71,AU,2022-10-17 02:12:25
102,Lashio,22.9333,97.75,69.91,92,39,0.38,MM,2022-10-17 02:20:26
103,Sitka,57.0531,-135.33,57.09,82,100,9.22,US,2022-10-17 02:16:33
104,Acapulco,16.8634,-99.8901,82.22,83,40,2.3,MX,2022-10-17 02:10:27
105,Emerald,-23.5333,148.1667,85.33,41,17,6.69,AU,2022-10-17 02:20:26
106,Bonfim,3.0833,-59.95,77.72,76,100,6.17,BR,2022-10-17 02:20:27
107,Novyy Urengoy,66.0833,76.6333,36.46,91,100,5.79,RU,2022-10-17 02:20:27
108,Homer,59.6425,-151.5483,48.09,87,100,0.0,US,2022-10-17 02:20:28
109,Chikola,43.1906,43.9209,47.25,97,99,2.01,RU,2022-10-17 02:20:28
110,Sinnamary,5.3833,-52.95,78.39,85,96,7.54,GF,2022-10-17 02:20:28
111,Faanui,-16.4833,-151.75,78.69,71,3,13.53,PF,2022-10-17 02:13:34
112,Barranca,-10.75,-77.7667,60.42,85,94,8.75,PE,2022-10-17 02:20:29
113,Tasiilaq,65.6145,-37.6368,30.36,67,100,7.96,GL,2022-10-17 02:15:05
114,Kaitangata,-46.2817,169.8464,57.27,55,81,3.8,NZ,2022-10-17 02:17:44
115,Kyren,51.6828,102.1408,39.61,38,10,1.16,RU,2022-10-17 02:20:29
116,Dalbandin,28.8947,64.4101,68.61,12,0,4.34,PK,2022-10-17 02:20:30
117,Cabalaoangan,15.9833,120.7833,83.91,75,88,5.66,PH,2022-10-17 02:20:31
118,Waynesville,35.4887,-82.9887,61.75,85,100,1.99,US,2022-10-17 02:20:31
119,Rawson,-43.3002,-65.1023,48.04,84,96,10.6,AR,2022-10-17 02:18:21
120,Thompson,55.7435,-97.8558,17.76,86,40,2.3,CA,2022-10-17 02:20:31
121,Sao Felix Do Xingu,-6.6447,-51.995,73.71,88,80,1.25,BR,2022-10-17 02:20:32
122,Tuy Hoa,13.0833,109.3,79.83,75,100,4.52,VN,2022-10-17 02:20:32
123,Castro,-24.7911,-50.0119,57.25,95,3,1.79,BR,2022-10-17 02:14:59
124,Port Blair,11.6667,92.75,80.64,89,40,4.61,IN,2022-10-17 02:20:33
125,Yumen,40.2833,97.2,48.15,22,0,3.42,CN,2022-10-17 02:20:33
126,Lodja,-3.4833,23.4333,66.11,99,100,0.96,CD,2022-10-17 02:20:33
127,Maniitsoq,65.4167,-52.9,38.3,63,100,15.77,GL,2022-10-17 02:20:34
128,Tuktoyaktuk,69.4541,-133.0374,26.51,94,100,25.32,CA,2022-10-17 02:12:14
129,Saint-Philippe,-21.3585,55.7679,67.59,81,37,6.82,RE,2022-10-17 02:13:36
130,Atuona,-9.8,-139.0333,76.91,73,8,10.18,PF,2022-10-17 02:13:47
131,Vostok,46.4856,135.8833,37.29,63,91,10.65,RU,2022-10-17 02:20:34
132,Tuatapere,-46.1333,167.6833,53.02,71,99,11.77,NZ,2022-10-17 02:17:32
133,Urucara,-2.5364,-57.76,74.95,91,99,2.39,BR,2022-10-17 02:20:35
134,Faya,18.3851,42.4509,54.12,32,0,5.77,SA,2022-10-17 02:13:39
135,Nanortalik,60.1432,-45.2371,35.06,72,21,8.88,GL,2022-10-17 02:20:35
136,Arraial Do Cabo,-22.9661,-42.0278,71.13,88,97,20.87,BR,2022-10-17 02:12:31
