City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
93,Souillac,MU,5/13/2020 19:43,-20.52,57.52,73.4,69,40,6.93
94,Kodiak,US,5/13/2020 19:43,57.79,-152.41,53.6,50,1,4.7
95,Georgetown,MY,5/13/2020 19:43,5.41,100.34,84.2,83,20,5.82
96,Sao Jose Da Coroa Grande,BR,5/13/2020 19:38,-8.9,-35.15,79.86,83,30,9.01
97,Lompoc,US,5/13/2020 19:43,34.64,-120.46,69.8,40,1,20.8
98,Yatou,CN,5/13/2020 19:43,37.15,122.38,58.12,65,100,10.65
99,Lesozavodsk,RU,5/13/2020 19:43,45.48,133.42,41.16,74,0,7.72
100,Kaitangata,NZ,5/13/2020 19:43,-46.28,169.85,46.99,92,100,3
101,George Town,MY,5/13/2020 19:41,5.41,100.34,84.2,83,20,5.82
102,Port Blair,IN,5/13/2020 19:43,11.67,92.75,81.46,84,100,17.31
103,Khatanga,RU,5/13/2020 19:43,71.97,102.5,23.23,98,85,7.4
104,Aitape,PG,5/13/2020 19:43,-3.14,142.35,77.9,85,59,4.54
105,Ugoofaaru,MV,5/13/2020 19:43,5.67,73,84.61,76,98,8.57
106,Severo-Kurilsk,RU,5/13/2020 19:38,50.68,156.12,36.57,84,100,16.62
107,Fayaoue,NC,5/13/2020 19:43,-20.65,166.53,72.86,54,1,2.46
108,Saldanha,ZA,5/13/2020 19:42,-33.01,17.94,57.2,82,0,4.7
109,Norman Wells,CA,5/13/2020 19:43,65.28,-126.83,30.2,46,40,16.11
110,Chokurdakh,RU,5/13/2020 19:38,70.63,147.92,33.67,100,100,8.12
111,Matay,EG,5/13/2020 19:43,28.42,30.78,83.93,15,99,15.48
112,Vostok,RU,5/13/2020 19:43,46.49,135.88,34.3,90,0,5.17
113,Nortelandia,BR,5/13/2020 19:43,-14.45,-56.8,87.73,57,77,1.57
114,Vallenar,CL,5/13/2020 19:43,-28.57,-70.76,76.73,25,4,5.95
115,Katsuura,JP,5/13/2020 19:43,35.13,140.3,64.4,39,0,6.93
116,Ambatofinandrahana,MG,5/13/2020 19:43,-20.55,46.8,55.11,96,9,0.69
117,Tuktoyaktuk,CA,5/13/2020 19:43,69.45,-133.04,17.6,78,90,9.17
118,Alenquer,BR,5/13/2020 19:43,-1.94,-54.74,86,74,20,5.82
119,East London,ZA,5/13/2020 19:38,-33.02,27.91,64.67,64,3,19.33
120,Los Llanos De Aridane,ES,5/13/2020 19:43,28.66,-17.92,69.8,56,20,8.05
121,The Valley,AI,5/13/2020 19:43,18.22,-63.06,86,58,20,14.99
