City_ID,City.1,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
226,Aden,YE,83.93,clear sky,12.7794,45.0367,Sama Emirate Hotel
227,Kuala Terengganu,MY,85.98,few clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
235,Mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
240,San Policarpo,PH,85.03,overcast clouds,12.1791,125.5072,Agapita M. Nicart
243,Touros,BR,76.87,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
245,Lakes Entrance,AU,70.65,light rain,-37.8811,147.981,The Esplanade Resort & Spa
247,Mariental,,79.86,broken clouds,-24.6333,17.9667,Mariental Hotel
248,Lorengau,PG,85.5,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
249,Kathmandu,NP,71.04,clear sky,27.7167,85.3167,Hotel Shanker Kathmandu
253,Gizo,SB,83.77,light rain,-8.103,156.8419,Imagination Island
256,Hambantota,LK,77.34,overcast clouds,6.1241,81.1185,Bungalow 63
258,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
261,Moindou,NC,77.47,overcast clouds,-21.6924,165.677,Equi-lodge de Moindou
267,Ponta Do Sol,PT,74.01,light rain,32.6667,-17.1,Hotel do Campo
268,Lethem,GY,76.21,light rain,3.3803,-59.7968,Savannah Inn
272,Praia,CV,73.94,few clouds,14.9215,-23.5087,LT Aparthotel
275,Ciudad Bolivar,VE,79.48,broken clouds,8.1222,-63.5497,Hotel Edi
277,Siyabuswa,ZA,74.66,overcast clouds,-25.1132,29.0445,Survivor Africa Game Lodge
279,San Andres,CO,82.42,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
282,Flinders,AU,73.18,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
285,Teahupoo,PF,71.85,light rain,-17.8333,-149.2667,Vanira Lodge
288,Oranjestad,AW,82.9,broken clouds,12.524,-70.027,Divi Village Golf & Beach Resort
