,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
133,Atikokan,CA,48.7555,-91.6216,36.28,87,99,5.77,overcast clouds
134,San Quintin,MX,30.4833,-115.95,69.55,77,0,1.54,clear sky
135,Tambo,PE,-14.8,-73.9167,31.41,27,59,3.4,broken clouds
136,Yellowknife,CA,62.456,-114.3525,32.52,93,75,11.5,mist
137,Upernavik,GL,72.7868,-56.1549,14.83,73,76,7.4,broken clouds
138,Madang,PG,-5.2246,145.7966,85.68,65,100,7.83,overcast clouds
139,Matadi,CD,-5.8167,13.45,76.24,88,100,2.08,light rain
140,Lompoc,US,34.6391,-120.4579,67.78,98,100,3.44,mist
141,Feijo,BR,-8.1642,-70.3536,73.17,98,100,1.59,overcast clouds
142,Zhezkazgan,KZ,47.8043,67.7144,46.38,36,20,13.42,few clouds
143,Chicama,PE,-7.8447,-79.1469,57.74,83,76,4.36,broken clouds
144,Udupi,IN,13.35,74.75,87.04,73,98,2.15,overcast clouds
145,Togur,RU,58.3631,82.8265,39.0,83,99,10.89,overcast clouds
146,Peniche,PT,39.3558,-9.3811,64.29,92,100,14.41,overcast clouds
147,Najran,SA,17.4924,44.1277,61.45,20,0,1.54,clear sky
148,Mar Del Plata,AR,-38.0023,-57.5575,59.02,93,40,10.0,scattered clouds
149,Lebu,CL,-37.6167,-73.65,48.49,79,71,16.24,broken clouds
150,Hithadhoo,MV,-0.6,73.0833,81.97,75,99,10.76,overcast clouds
151,Rio Gallegos,AR,-51.6226,-69.2181,39.25,52,0,16.11,clear sky
152,Tromso,NO,69.6496,18.957,33.39,93,0,2.3,clear sky
153,Berlevag,NO,70.8578,29.0864,37.35,75,20,19.57,few clouds
154,Juneau,US,58.3019,-134.4197,45.21,97,100,8.05,moderate rain
155,Tadine,NC,-21.55,167.8833,73.31,69,98,17.34,overcast clouds
156,Moose Factory,CA,51.2585,-80.6094,35.6,93,100,14.97,overcast clouds
157,Sarangani,PH,5.4033,125.4636,84.4,75,91,17.43,overcast clouds
158,Karpogory,RU,64.0019,44.4451,28.81,89,87,8.77,overcast clouds
