City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
288,288,IN,80.73,heavy intensity rain,9.2833,79.3,Daiwik Hotels Rameswaram
289,289,AR,79.65,clear sky,-31.4135,-64.1811,Hotel Sussex
294,294,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
297,297,NU,77.34,broken clouds,-19.0595,-169.9187,Taloa Heights
298,298,VE,82.74,overcast clouds,7.7669,-72.225,Pirineos
299,299,SO,78.21,scattered clouds,9.4942,50.8122,JABIR HOTEL
303,303,JP,79.57,overcast clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
304,304,MX,77.41,clear sky,26.4333,-99.15,Mier 09
306,306,US,76.03,clear sky,44.2911,-105.5022,National 9 Inn - Gillette WY
307,307,MX,77.83,broken clouds,20.8667,-90.4,Posada Lilia
308,308,IN,80.89,overcast clouds,10.5669,72.642,Green leaf
310,310,AR,76.62,clear sky,-38.7196,-62.2724,Hotel Argos
316,316,PF,78.76,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
317,317,SD,81.0,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
319,319,BR,79.36,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
323,323,MR,85.93,clear sky,18.0858,-15.9785,HOTEL IMAN
324,324,BR,89.26,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
325,325,PE,81.91,broken clouds,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
326,326,MV,81.36,overcast clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
328,328,BR,89.64,overcast clouds,-5.1833,-68.9,
332,332,ID,75.88,overcast clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
333,333,AU,89.35,overcast clouds,-15.7667,128.7333,Hotel Kununurra
335,335,ID,80.13,light rain,-6.8767,112.3761,Tanjung Kodok Beach Resort
342,342,EG,82.89,clear sky,24.0934,32.907,Nuba Nile
344,344,PG,75.29,overcast clouds,-8.7537,148.2534,Timos Transit House
345,345,PG,76.39,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
350,350,ID,76.35,overcast clouds,-9.1061,124.8925,Ros Muskanan
351,351,ID,76.1,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
352,352,SB,77.58,broken clouds,-8.7676,160.7034,Auki Motel
353,353,US,86.65,clear sky,36.6177,-121.9166,Lovers Point Inn
355,355,SS,79.43,overcast clouds,4.4133,32.5678,Diplomat Guest House
359,359,LR,76.51,light rain,4.375,-7.7169,Screensaver
362,362,SO,84.49,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
363,363,PH,76.14,overcast clouds,10.6167,123.9833,Durano Ecofarm and Spring Resort
364,364,MV,81.61,overcast clouds,5.1033,73.0708,Soneva Fushi
365,365,MA,75.42,overcast clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
372,372,SN,77.68,light rain,12.485,-16.5469,Auberge du Routard
374,374,CR,75.11,overcast clouds,9.8383,-83.8656,Hotel Rinconcito Verde
